Sample ID,DOC,Total Biomass,Bact Richness,Fungi Richness,DOC_cont
14A,High,11.72,34.0,6.0,5.21
16A,High,25.85,43.0,4.0,8.25
18A,High,18.25,54.0,5.0,5.21
27A,High,12.63,61.0,9.0,4.29
36A,High,19.07,61.0,7.0,4.42
47A,High,6.23,96.0,8.0,7.21
57A,High,8.98,34.0,1.0,6.67
64A,High,24.23,102.0,5.0,4.79
84A,High,6.87,90.0,9.0,4.17
87A,High,32.35,78.0,7.0,3.96
108A,High,7.81,74.0,6.0,5.17
118A,High,12.09,81.0,17.0,4.5
132A,High,9.2,66.0,2.0,3.54
141A,High,7.45,77.0,14.0,4.63
153A,High,5.96,44.0,14.0,5.46
168A,High,4.28,70.0,4.0,4.13
173A,High,12.48,37.0,3.0,5.29
174A,High,12.7,58.0,3.0,4.54
175A,High,10.49,70.0,2.0,7.58
178A,High,5.63,67.0,5.0,5.75
190A,High,14.28,44.0,5.0,4.75
196A,High,5.5,48.0,2.0,4.88
198A,High,11.28,89.0,4.0,5.17
215A,High,38.91,48.0,12.0,4.54
11B,High,29.95,42.0,1.0,5.54
14B,High,13.14,44.0,2.0,5.92
16B,High,12.48,61.0,7.0,5.25
18B,High,16.01,58.0,5.0,4.63
27B,High,15.19,70.0,7.0,4.88
36B,High,15.47,76.0,9.0,6.21
47B,High,11.31,84.0,9.0,4.13
57B,High,7.67,41.0,1.0,5.79
64B,High,12.22,150.0,7.0,3.58
84B,High,6.77,79.0,10.0,4.83
87B,High,17.84,90.0,4.0,4.67
108B,High,5.9,95.0,3.0,4.42
118B,High,12.25,82.0,23.0,4.25
132B,High,6.85,51.0,2.0,5.83
168B,High,7.22,65.0,10.0,4.5
175B,High,17.19,52.0,4.0,4.54
190B,High,11.76,41.0,7.0,5.04
196B,High,14.86,57.0,8.0,4.58
198B,High,14.39,73.0,4.0,5.21
215B,High,125.75,35.0,5.0,3.71
33A,Low,13.09,74.0,6.0,2.54
48A,Low,13.01,96.0,12.0,2.63
53A,Low,8.39,140.0,4.0,2.79
58A,Low,82.59,57.0,11.0,3.33
61A,Low,34.46,105.0,1.0,2.67
79A,Low,25.24,100.0,15.0,2.79
88A,Low,11.83,94.0,8.0,2.88
105A,Low,29.41,79.0,3.0,2.71
106A,Low,9.89,83.0,5.0,2.92
110A,Low,10.06,145.0,7.0,1.63
130A,Low,5.77,71.0,4.0,2.5
131A,Low,28.12,88.0,4.0,3.04
139A,Low,17.46,120.0,10.0,2.58
152A,Low,10.82,39.0,3.0,2.33
162A,Low,58.85,76.0,10.0,3.08
163A,Low,17.15,86.0,8.0,3.17
164A,Low,39.84,88.0,5.0,3.42
170A,Low,13.07,80.0,2.0,2.71
189A,Low,17.54,72.0,2.0,2.96
193A,Low,9.13,113.0,5.0,3.29
194A,Low,35.55,77.0,7.0,3.04
203A,Low,8.48,92.0,6.0,3.46
33B,Low,48.0,71.0,7.0,3.13
48B,Low,9.82,109.0,7.0,2.33
53B,Low,8.42,133.0,4.0,3.38
58B,Low,10.97,94.0,5.0,3.08
61B,Low,19.8,77.0,3.0,3.46
79B,Low,15.73,115.0,6.0,3.04
88B,Low,13.41,82.0,4.0,3.33
105B,Low,31.63,64.0,8.0,3.75
106B,Low,8.96,101.0,5.0,3.54
110B,Low,9.36,117.0,6.0,2.38
130B,Low,19.01,31.0,5.0,2.71
131B,Low,37.62,90.0,4.0,3.42
139B,Low,31.87,98.0,11.0,3.04
152B,Low,9.48,100.0,5.0,3.63
158B,Low,33.81,94.0,3.0,3.0
163B,Low,38.46,93.0,5.0,3.0
164B,Low,13.25,98.0,3.0,2.83
170B,Low,21.38,65.0,3.0,2.75
193B,Low,12.18,79.0,7.0,2.83
194B,Low,14.0,82.0,12.0,2.92
203B,Low,41.66,74.0,2.0,2.54
207B,Low,14.54,108.0,2.0,2.04
