Sample ID,DOC,Total Biomass,Bact Richness,Fungi Richness,DOC_cont
6A,High,8.51,93.0,8.0,8.54
11A,High,5.62,87.0,17.0,6.53
14A,High,8.15,42.0,2.0,8.13
18A,High,9.03,69.0,4.0,9.12
22A,High,10.46,73.0,5.0,6.43
24A,High,9.92,61.0,8.0,7.32
29A,High,9.1,33.0,12.0,8.54
36A,High,13.2,88.0,11.0,6.13
57A,High,15.84,38.0,3.0,8.98
60A,High,7.46,102.0,8.0,9.01
76A,High,9.79,97.0,7.0,6.72
87A,High,7.1,73.0,10.0,7.49
101A,High,6.86,64.0,10.0,6.8
102A,High,5.37,105.0,11.0,6.49
108A,High,24.38,57.0,9.0,5.78
118A,High,3.39,92.0,16.0,6.17
168A,High,11.18,46.0,3.0,6.8
174A,High,3.79,72.0,14.0,6.28
175A,High,12.46,43.0,14.0,7.6
178A,High,1.61,50.0,13.0,7.48
196A,High,8.31,63.0,7.0,5.93
198A,High,6.94,51.0,13.0,7.22
204A,High,1.94,92.0,10.0,7.12
207A,High,17.37,73.0,8.0,13.29
215A,High,5.54,43.0,8.0,9.09
11B,High,10.24,104.0,12.0,6.47
14B,High,5.19,50.0,13.0,8.55
18B,High,12.8,46.0,10.0,8.08
22B,High,7.06,69.0,8.0,6.98
24B,High,17.99,53.0,3.0,6.13
29B,High,13.64,61.0,11.0,6.58
36B,High,15.06,99.0,19.0,7.03
57B,High,9.24,32.0,5.0,10.09
60B,High,9.16,107.0,8.0,5.43
76B,High,10.87,83.0,8.0,6.62
87B,High,10.11,78.0,10.0,7.0
101B,High,6.24,86.0,17.0,7.54
102B,High,5.36,92.0,8.0,7.38
108B,High,8.57,81.0,9.0,7.24
118B,High,3.13,98.0,15.0,7.89
168B,High,8.57,52.0,7.0,6.84
174B,High,1.63,107.0,9.0,6.72
175B,High,5.82,54.0,9.0,8.65
178B,High,1.99,60.0,9.0,7.85
196B,High,5.34,63.0,12.0,7.37
198B,High,8.89,70.0,6.0,8.53
204B,High,2.72,78.0,10.0,6.33
207B,High,14.41,80.0,12.0,18.33
215B,High,2.89,41.0,12.0,7.85
28A,Low,11.48,94.0,7.0,4.85
32A,Low,10.43,135.0,14.0,4.34
37A,Low,10.44,111.0,14.0,4.36
39A,Low,8.85,95.0,10.0,3.01
42A,Low,23.37,85.0,24.0,4.41
47A,Low,10.23,112.0,22.0,4.64
48A,Low,15.29,90.0,9.0,4.77
52A,Low,10.72,95.0,6.0,4.4
61A,Low,13.02,96.0,7.0,4.93
67A,Low,12.1,98.0,19.0,4.71
70A,Low,15.93,118.0,14.0,4.22
79A,Low,21.6,79.0,16.0,4.55
104A,Low,6.54,109.0,22.0,4.18
106A,Low,5.12,93.0,18.0,4.78
110A,Low,22.1,85.0,23.0,3.9
131A,Low,15.15,68.0,12.0,4.23
139A,Low,21.87,119.0,26.0,4.96
158A,Low,62.1,95.0,22.0,3.7
162A,Low,4.67,83.0,23.0,5.12
163A,Low,11.28,72.0,12.0,4.13
185A,Low,15.26,65.0,18.0,4.64
189A,Low,16.11,66.0,13.0,4.12
194A,Low,21.51,78.0,20.0,4.11
201A,Low,22.93,76.0,28.0,4.62
203A,Low,16.01,77.0,15.0,4.24
28B,Low,17.34,98.0,15.0,4.36
32B,Low,22.04,93.0,5.0,4.42
37B,Low,18.6,94.0,11.0,4.9
39B,Low,11.65,112.0,16.0,4.57
42B,Low,11.09,106.0,20.0,3.46
47B,Low,10.32,108.0,14.0,4.18
48B,Low,11.57,80.0,11.0,4.43
52B,Low,15.94,84.0,6.0,4.55
61B,Low,12.8,85.0,10.0,4.12
67B,Low,10.32,112.0,17.0,4.69
70B,Low,9.03,118.0,14.0,4.98
79B,Low,12.22,100.0,27.0,4.19
104B,Low,7.46,87.0,16.0,4.62
106B,Low,4.7,109.0,23.0,4.73
110B,Low,9.88,102.0,17.0,3.88
131B,Low,13.64,86.0,13.0,4.57
139B,Low,4.51,106.0,22.0,3.66
158B,Low,33.17,67.0,16.0,3.79
162B,Low,33.05,66.0,22.0,4.18
163B,Low,6.58,81.0,20.0,4.65
185B,Low,8.14,76.0,11.0,4.91
189B,Low,3.62,61.0,7.0,4.26
194B,Low,16.21,83.0,23.0,4.1
201B,Low,11.74,86.0,31.0,4.7
203B,Low,15.46,84.0,19.0,5.13
