Taxa,RF Importance,NN Importance,IS stat,IS Site Label,IS P value,K
Porphyrobacter,0.7099961422637104,-0.9653642048653324,0.7429347452958394,Low,0.005,0
Pseudomonas,0.8640836622138685,0.8478676642948285,0.7163657331867476,High,0.005,0
Flavobacterium,0.35125972400722927,-0.8457758768789921,0.6890490596879041,Low,0.025,0
Rhizobium,1.0,1.0,0.6716184224334157,High,0.0,0
Altererythrobacter,0.5657076023054327,-0.9114376427828152,0.5136092699777889,Low,0.02,0
Advenella,0.1677871169750166,0.7074819030319873,0.4129329489097227,High,0.02,0
Variovorax,0.12385277616564086,-0.6987570161206564,0.7715634243871619,Low,0.045,1
Pseudomonas,1.0,0.9211678524040618,0.7603078227956512,High,0.0,1
Porphyrobacter,0.21739074973629946,-0.8029568488960912,0.7425732032428038,Low,0.0,1
Flavobacterium,0.28830809284902126,-0.8187005340719478,0.7121296665211428,Low,0.015,1
Rhizobium,0.9006412286001527,0.7560824846934208,0.6685859096439738,High,0.015,1
Altererythrobacter,0.3487931775235338,-0.9125709353043946,0.5187771992345186,Low,0.005,1
Achromobacter,0.20817803895154016,0.9511305287704346,0.5151683391927632,High,0.03,1
Pseudomonas,0.6548196883026225,1.0,0.7222705734909839,High,0.025,2
Flavobacterium,0.3075607194300493,-0.9624064747580904,0.7154812083218893,Low,0.005,2
Porphyrobacter,0.23142776059477807,-0.7041175171411221,0.6860962967839767,Low,0.04,2
Rhizobium,1.0,0.8852410229148913,0.6651360225428056,High,0.005,2
Altererythrobacter,0.30621132008630064,-0.9674925197479661,0.5205156929485103,Low,0.01,2
Achromobacter,0.20787027723561097,0.8414655375644365,0.4954318408104537,High,0.045,2
Porphyrobacter,0.8874769385625753,-0.9226029098740179,0.780721056333475,Low,0.0,3
Pseudomonas,0.48994041539557664,1.0,0.7284146751455738,High,0.01,3
Flavobacterium,0.27436388020774166,-0.7499719745450032,0.6955520924298542,Low,0.02,3
Rhizobium,1.0,0.9506882961938916,0.6928280322360763,High,0.0,3
Altererythrobacter,0.35098415285662893,-0.7940156118190721,0.5222720147823874,Low,0.025,3
Pseudomonas,1.0,1.0,0.7478824545080404,High,0.005,4
Porphyrobacter,0.46038346284583176,-0.8371899741760918,0.7248466800795598,Low,0.01,4
Flavobacterium,0.45336591612164945,-0.7328064088926466,0.7166555068214848,Low,0.015,4
Sphingomonas,0.22351544352195454,-0.8974658901735323,0.7116078271909715,Low,0.04,4
Rhizobium,0.4440211593519151,0.6806306062851989,0.633497485560164,High,0.03,4
Altererythrobacter,0.2778438837190968,-0.9403653738465245,0.5202341083217527,Low,0.01,4
Variovorax,0.2754663244399661,-0.8437934905963173,0.7887063409151118,Low,0.005,5
Porphyrobacter,0.5514053138734145,-0.8634722283767868,0.7333090703414004,Low,0.0,5
Pseudomonas,0.7288201287007888,0.8747498743196905,0.7142150829654085,High,0.035,5
Flavobacterium,0.27904219708554434,-0.6413210575523526,0.6967134427453914,Low,0.01,5
Rhizobium,1.0,0.8295000022363846,0.6749458094462202,High,0.015,5
Altererythrobacter,0.4842104310623355,-0.9576946285563925,0.5257787754285145,Low,0.005,5
Porphyrobacter,0.6311694996675614,-0.6673140138285724,0.7225956837295128,Low,0.0,6
Pseudomonas,1.0,0.9355519600874665,0.7178267081378416,High,0.025,6
Flavobacterium,0.3978808750815927,-1.0,0.6973220967417024,Low,0.005,6
Rhizobium,0.7179572263987551,0.8709619397130246,0.6291025434153896,High,0.025,6
Altererythrobacter,0.6136958334807217,-0.8422328012752258,0.5412532925670914,Low,0.0,6
Achromobacter,0.5260490003220087,0.8999676922561191,0.5038187253675375,High,0.025,6
Advenella,0.3254566131759088,0.7627592520061812,0.4364357804719847,High,0.005,6
Flavobacterium,0.4664489827427574,-0.9904027241533642,0.7416419186573641,Low,0.0,7
Porphyrobacter,0.3709695851952671,-0.8748478191919749,0.7028795397648634,Low,0.01,7
Rhizobium,0.5552476568410036,0.7946211175764877,0.6504779491227963,High,0.01,7
Acidovorax,0.24331584570816686,0.8198439581417214,0.6287244899500976,High,0.0,7
Altererythrobacter,0.6473720215942278,-1.0,0.5458843757383123,Low,0.005,7
Variovorax,0.2886242812452192,-0.7453667533309498,0.7656214065189075,Low,0.025,8
Porphyrobacter,0.626463185424937,-0.9254174204153327,0.7359837916142214,Low,0.0,8
Pseudomonas,0.8831484371114213,0.8418118993288745,0.71015666952932,High,0.045,8
Flavobacterium,0.5457194871317842,-1.0,0.6875334817029312,Low,0.005,8
Rhizobium,1.0,0.7756725660767195,0.6476301278024348,High,0.015,8
Altererythrobacter,0.49762520662310583,-0.9060080836353684,0.5007440547006847,Low,0.015,8
Achromobacter,0.3953884981541373,0.9221797205334635,0.5006858153865108,High,0.05,8
Pseudoxanthomonas,0.15788766790172926,-0.5854132501931208,0.7411218501255323,Low,0.015,9
Flavobacterium,0.5470482169740536,-0.8144221274299955,0.7339676760110705,Low,0.0,9
Pseudomonas,1.0,1.0,0.725429311609348,High,0.03,9
Porphyrobacter,0.41223936056306115,-0.8079810680572945,0.6978101535208068,Low,0.02,9
Rhizobium,0.7214389120883744,0.6910026612739241,0.667648121570078,High,0.005,9
Altererythrobacter,0.6162258743709808,-0.9772559558399262,0.5412532925670914,Low,0.005,9
Achromobacter,0.2700938190004417,0.7962413959804463,0.5151691738532145,High,0.02,9
Porphyrobacter,0.8082143932978493,-0.9572903406156303,0.7581168317206188,Low,0.0,10
Flavobacterium,0.4800268742946116,-1.0,0.7231321572759171,Low,0.01,10
Pseudomonas,1.0,0.9175848934252606,0.7207791617028938,High,0.03,10
Rhizobium,0.7708774796236472,0.7412938677363984,0.6332152431120408,High,0.01,10
Altererythrobacter,0.282481268921059,-0.9241952843793365,0.5123566615391337,Low,0.005,10
Variovorax,0.20157363531512126,-0.6541379470512754,0.767939798723374,Low,0.05,11
Porphyrobacter,0.7586933525686197,-0.818625354351117,0.7338750771933416,Low,0.0,11
Pseudomonas,1.0,0.7185545330796399,0.7217926177413169,High,0.025,11
Flavobacterium,0.5613252812302953,-0.7931131191350403,0.7210716751182538,Low,0.0,11
Rhizobium,0.9374479798717449,0.725552713536856,0.6518081653106935,High,0.01,11
Altererythrobacter,0.6487050224568407,-0.8013937534777069,0.549772041026695,Low,0.0,11
Achromobacter,0.31989363537468113,1.0,0.5020256202697061,High,0.025,11
Variovorax,0.41861959664746273,-0.7976749425175798,0.7920985199993998,Low,0.005,12
Porphyrobacter,0.5084063788704362,-0.7619851440359463,0.7498997527229366,Low,0.005,12
Pseudomonas,1.0,1.0,0.7260384169902695,High,0.01,12
Flavobacterium,0.2118126264540599,-0.8220221346802015,0.6895036492956557,Low,0.015,12
Cellulomonas,0.20381201665429013,-0.7050966312413637,0.6099942813304187,Low,0.03,12
Altererythrobacter,0.6223055162594731,-0.9709335906609929,0.5294919802092787,Low,0.005,12
Variovorax,0.2040437901314222,-0.7524796955183108,0.7737273159973961,Low,0.03,13
Porphyrobacter,0.4700737311363621,-0.8779397243952242,0.7352001273320619,Low,0.0,13
Flavobacterium,0.41523154221245445,-0.8249496925332309,0.7290460356449638,Low,0.015,13
Pseudomonas,0.9723459468966932,0.8758734567079768,0.7126621284589353,High,0.035,13
Rhizobium,1.0,0.7003859412008825,0.6509594354290086,High,0.005,13
Altererythrobacter,0.5508876302755953,-1.0,0.5088616235640696,Low,0.015,13
Porphyrobacter,0.483074040755643,-0.574757725293742,0.7223751803157733,Low,0.005,14
Pseudomonas,1.0,0.7064010478351535,0.7202327583377532,High,0.015,14
Flavobacterium,0.26094830002254943,-0.6569675981091185,0.6971504513424844,Low,0.005,14
Rhizobium,0.7946634210336112,0.6450232942005648,0.6276854285493426,High,0.015,14
Altererythrobacter,0.5564890943249788,-0.6391368881627778,0.5327311628995617,Low,0.005,14
Achromobacter,0.45925026235731425,1.0,0.5161250791593177,High,0.015,14
