Taxa,RF Importance,NN Importance,IS stat,IS Site Label,IS P value,K
Polaromonas,1.0,-0.8865111299258326,0.786778539795261,Low,0.025,0
Chitinophaga,0.8231635499959488,1.0,0.7345569108359983,High,0.0,0
Cellulomonas,0.29909834676341923,0.664663694484385,0.7208996557394242,High,0.0,0
Rhizobium,0.4171995671865135,0.9913695390074524,0.702652430913626,High,0.0,0
Bradyrhizobium,0.22465948874022248,0.6610642645949092,0.6838990158374803,High,0.0,0
Rhodopseudomonas,0.26804076767602253,0.842350094540477,0.636976742012993,High,0.0,0
Altererythrobacter,0.3121304554920703,-0.7042528264106017,0.2818924693798784,Low,0.005,0
Polaromonas,0.3175241359386984,-0.701068576898483,0.758126031686381,Low,0.05,1
Chitinophaga,0.5719802988229772,0.9402385869816804,0.7454361591929104,High,0.0,1
Bradyrhizobium,0.6658776487642292,0.942355493487767,0.7403771170606741,High,0.0,1
Frigoribacterium,0.27545485948152837,0.6362657903479552,0.7175078665293465,High,0.0,1
Blastococcus,1.0,1.0,0.710619154696423,High,0.0,1
Cellulomonas,0.32354268953900306,0.852366805361322,0.7093859641144189,High,0.0,1
Rhizobium,0.254625843989345,0.7980823619161516,0.709255443329464,High,0.0,1
Rhodopseudomonas,0.12431712565705365,0.7801651859961928,0.6337781146558877,High,0.0,1
Rhodococcus,0.16937561097973558,0.630554825229576,0.6239572402468575,High,0.01,1
Kerstersia,0.12033479604975268,0.6045863709975846,0.5617130094883892,High,0.0,1
Skermanella,0.09594349153860057,-0.5939160792445642,0.5346188417681573,Low,0.005,1
Devosia,0.3288472477271632,0.8058521249870864,0.4982372344567755,High,0.0,1
Oxalicibacterium,0.21603173024196132,-0.6429431091542506,0.3614984524590203,Low,0.0,1
Taibaiella,0.08222722245346284,0.5425645644726723,0.3498517221817488,High,0.03,1
Paracoccus,0.08658016129049956,-0.5914644555878991,0.30966176864266615,Low,0.005,1
Polaromonas,0.640681393152971,-0.7290515354513136,0.7614492843392093,Low,0.025,2
Chitinophaga,0.6322363257256276,0.9986782818152922,0.745793141674902,High,0.0,2
Bradyrhizobium,0.4949108349320482,0.9498784169022187,0.7197244258400504,High,0.0,2
Cellulomonas,0.3384646656097578,1.0,0.7172423847933411,High,0.0,2
Frigoribacterium,0.45420984985728313,0.7778586544308593,0.7062672541868714,High,0.005,2
Rhizobium,0.21376945721018534,0.7141853587060291,0.6673875469528563,High,0.005,2
Blastococcus,1.0,0.7069543371336038,0.6587267898273147,High,0.0,2
Rhodopseudomonas,0.17902635747649337,0.6826436660155736,0.6138199857320171,High,0.0,2
Rhodococcus,0.14493228937161487,0.7793927925879961,0.5781861006358503,High,0.025,2
Kerstersia,0.17196997195594346,0.6856376478902959,0.5505159078016102,High,0.0,2
Devosia,0.7276968248736011,0.8911228873205758,0.47270253781244265,High,0.0,2
Oxalicibacterium,0.3589742219776603,-0.6668125403009075,0.366877328589072,Low,0.0,2
Altererythrobacter,0.22747530407902714,-0.6132832422705056,0.2755863587195388,Low,0.045,2
Polaromonas,1.0,-0.9263710424902201,0.7713777640437011,Low,0.0,3
Cellulomonas,0.8809473743434051,1.0,0.7255865144215342,High,0.0,3
Chitinophaga,0.45579365003981953,0.9151024288263425,0.7242110830302013,High,0.0,3
Frigoribacterium,0.29120700137037514,0.8273047252846891,0.7119291961702507,High,0.01,3
Bradyrhizobium,0.24684515158126064,0.9193566583812667,0.6990013498006464,High,0.0,3
Blastococcus,0.9748180833351627,0.6792212539802884,0.6723217156815894,High,0.0,3
Rhizobium,0.2628765351307881,0.8338887270759899,0.6547706380919744,High,0.0,3
Rhodopseudomonas,0.17956062878260926,0.7464466393091908,0.5967995788963887,High,0.0,3
Rhodococcus,0.1242400592505631,0.6743717432664742,0.5774534247261467,High,0.04,3
Skermanella,0.1500640309898916,-0.6560053919521732,0.5201936190722375,Low,0.0,3
Devosia,0.6718663045315183,0.8232047807660333,0.47701317158965345,High,0.005,3
Oxalicibacterium,0.4157214572923584,-0.7294373943832548,0.3298862886396947,Low,0.0,3
Altererythrobacter,0.2067007104630848,-0.6443359880627424,0.2781950941375838,Low,0.01,3
Polaromonas,0.399421884581047,-0.8433119381350275,0.7630006619515209,Low,0.01,4
Frigoribacterium,0.3187378904932835,0.7824696413678187,0.7214417664950272,High,0.005,4
Cellulomonas,0.31685479086092877,0.901986804599099,0.7132197305183595,High,0.0,4
Bradyrhizobium,0.33528946606937027,1.0,0.7123259822067726,High,0.0,4
Chitinophaga,0.3170376732092934,0.8962905550033474,0.7072224676161876,High,0.0,4
Blastococcus,1.0,0.6859157748298479,0.6871112727659313,High,0.0,4
Rhizobium,0.14690572335776936,0.8070380339473696,0.6554425714547032,High,0.0,4
Rhodopseudomonas,0.15100340705505255,0.9175383590845828,0.6156735395132558,High,0.0,4
Rhodococcus,0.09203960077163037,0.7451515312672411,0.5756381773200524,High,0.03,4
Kerstersia,0.12167138706894569,0.639157553351546,0.5609141105880135,High,0.0,4
Skermanella,0.10417432410022362,-0.6665758037460985,0.5151008076060398,Low,0.005,4
Devosia,0.5611875812130387,0.9510796042336128,0.501777030407798,High,0.0,4
Oxalicibacterium,0.22466785557437363,-0.8349469258584168,0.35938040276441896,Low,0.005,4
Altererythrobacter,0.2166425246360117,-0.7842680997990105,0.2847473987257497,Low,0.015,4
Polaromonas,0.736490919670039,-0.9485593284156884,0.7717763001939255,Low,0.015,5
Cellulomonas,0.2821065213137102,1.0,0.7181949651730143,High,0.0,5
Bradyrhizobium,0.5941894390281766,0.9401092321267922,0.7167626622227495,High,0.01,5
Frigoribacterium,0.6734425161622619,0.8483127553403256,0.7147998929603689,High,0.0,5
Chitinophaga,0.6141980748002405,0.9957859903206985,0.7102935190616281,High,0.0,5
Blastococcus,1.0,0.8025255773594336,0.6617874962878055,High,0.0,5
Rhizobium,0.20780151891941198,0.7551412923771205,0.6617678873972531,High,0.005,5
Rhodopseudomonas,0.17676963601269224,0.9179128085167917,0.6096199690689664,High,0.0,5
Skermanella,0.1840203198990246,-0.6595454256383337,0.4922765648415065,Low,0.02,5
Devosia,0.5484404431312494,0.8761006230454268,0.4557554954122564,High,0.02,5
Oxalicibacterium,0.24957732391656812,-0.839679154039125,0.3783989563651504,Low,0.0,5
Altererythrobacter,0.1633155204237118,-0.7349443756533592,0.2581218039446528,Low,0.03,5
Polaromonas,0.5793437607826248,-0.8909419123357479,0.7685864221072842,Low,0.03,6
Chitinophaga,0.7459665454284583,1.0,0.7306128270792839,High,0.0,6
Bradyrhizobium,0.5759340411740468,0.9283496859199274,0.725563441535134,High,0.0,6
Frigoribacterium,0.3873223422793304,0.9985804817562768,0.7183146971101254,High,0.0,6
Cellulomonas,0.39493159276236695,0.7953812549188605,0.7119697799473922,High,0.0,6
Blastococcus,1.0,0.7330427550025888,0.6684630008498261,High,0.0,6
Rhizobium,0.1972539321006566,0.851707659847353,0.6534440220412596,High,0.005,6
Rhodopseudomonas,0.15279142565263573,0.8936072523168006,0.6194992043691798,High,0.0,6
Rhodococcus,0.1349558024309284,0.840354018978826,0.5709994247588769,High,0.05,6
Devosia,0.5578286550180548,0.8370030437230143,0.4646601886422926,High,0.015,6
Oxalicibacterium,0.33429602046566004,-0.7500282738691,0.3647195419606001,Low,0.0,6
Polaromonas,0.5789472299160792,-0.8725206037600255,0.753368957738765,Low,0.015,7
Frigoribacterium,0.4318690851084165,0.8504258700612655,0.7446575833193848,High,0.0,7
Bradyrhizobium,0.6373594069727623,1.0,0.7265350369326796,High,0.0,7
Cellulomonas,0.38158913458176386,0.9372850072034133,0.7246573182028287,High,0.0,7
Chitinophaga,0.5006781123665721,0.9539805442013135,0.7200654609594661,High,0.0,7
Blastococcus,1.0,0.7615908613810237,0.6919429173848528,High,0.0,7
Rhizobium,0.16325637336600193,0.86213903098532,0.6584621039877001,High,0.005,7
Rhodopseudomonas,0.12244772423617958,0.8696309735502854,0.5908707491510395,High,0.0,7
Rhodococcus,0.1428108874113157,0.797484817299302,0.5887584153014642,High,0.005,7
Skermanella,0.13200186762344276,-0.7674407324841509,0.5347773027058005,Low,0.0,7
Devosia,0.640094500822096,0.8966279391587215,0.4942504484578187,High,0.0,7
Oxalicibacterium,0.26757486855654444,-0.8430948998105937,0.372812679440492,Low,0.0,7
Altererythrobacter,0.18466176026680453,-0.7786077278623222,0.28068155411097023,Low,0.015,7
Polaromonas,0.4116909108792683,-0.8137454290564238,0.757918005449782,Low,0.02,8
Frigoribacterium,0.42374377719721806,0.7644471353513808,0.7226823778898213,High,0.005,8
Bradyrhizobium,0.45987595181078483,1.0,0.7160198769898375,High,0.0,8
Chitinophaga,0.297294743458607,0.9242675652342565,0.7058447161319458,High,0.0,8
Cellulomonas,0.2476319675618945,0.968322086482699,0.6833833224895026,High,0.0,8
Blastococcus,1.0,0.7553608793921036,0.6738997479268056,High,0.0,8
Rhizobium,0.1881320744310907,0.8036568478033149,0.6510020026885358,High,0.0,8
Rhodopseudomonas,0.13199704450134292,0.7126074607095159,0.6002939836744878,High,0.0,8
Kerstersia,0.11218842485920377,0.7359219640173198,0.5588727537997162,High,0.005,8
Devosia,0.4753049722682694,0.8222505085007924,0.4966832240105286,High,0.0,8
Oxalicibacterium,0.2309466811044233,-0.7305359738376803,0.3614984524590203,Low,0.0,8
Cohnella,0.10779865486797141,0.9002715734411323,0.287706398351526,High,0.05,8
Polaromonas,0.4191658134143362,-0.8245529284271057,0.763943747599027,Low,0.025,9
Cellulomonas,0.5553629442614201,0.9654763383209948,0.7444508292868678,High,0.0,9
Bradyrhizobium,0.5730085358654988,1.0,0.7239286875623592,High,0.0,9
Chitinophaga,0.7076573614086079,0.9915341283947585,0.7147202100849575,High,0.0,9
Blastococcus,1.0,0.6848970194920629,0.6799067299369543,High,0.0,9
Devosia,0.8520597535499834,0.7653269582333352,0.4935183661603618,High,0.0,9
Oxalicibacterium,0.6321044617042444,-0.8093932755077786,0.3811161074459469,Low,0.0,9
Cohnella,0.2005626634238376,0.9885296312461981,0.3158690276528952,High,0.04,9
Polaromonas,0.39857814441281664,-0.6709638873201731,0.7616736409337104,Low,0.02,10
Bradyrhizobium,0.5600995781966114,0.9808437177811644,0.7283458592753717,High,0.0,10
Cellulomonas,0.30686766667822507,0.80391915135282,0.7137484156578849,High,0.0,10
Chitinophaga,0.5792572485738883,1.0,0.7136423500544739,High,0.0,10
Frigoribacterium,0.318392639045736,0.6088085126767079,0.6973722493248813,High,0.01,10
Blastococcus,1.0,0.5962800197731065,0.6910829388830986,High,0.0,10
Rhizobium,0.20603704148084848,0.720576495320603,0.6331555383708308,High,0.02,10
Steroidobacter,0.441612058531388,0.5770296747359803,0.5991815526366772,High,0.005,10
Rhodopseudomonas,0.13377242090062313,0.7672325653390784,0.5745716083599008,High,0.01,10
Kerstersia,0.11402324449483865,0.5966712250951619,0.5626561552401941,High,0.005,10
Skermanella,0.20061107278176188,-0.6309129276749006,0.49893772668610986,Low,0.0,10
Devosia,0.5666368536357632,0.7365229872309158,0.48125962554688256,High,0.005,10
Oxalicibacterium,0.5347685011665001,-0.8265611849251198,0.38069349381344053,Low,0.0,10
Cohnella,0.16194463153181596,0.8295302050068536,0.31657205328921134,High,0.035,10
Altererythrobacter,0.24682385486589745,-0.6735057367550752,0.27995147928168906,Low,0.02,10
Polaromonas,0.7582312741579872,-0.9669596549206182,0.7699654693376405,Low,0.015,11
Cellulomonas,0.5939009125755574,0.9456555399806393,0.7311607403262205,High,0.0,11
Bradyrhizobium,0.5674614958628227,0.9000584817225271,0.7086187062535116,High,0.005,11
Chitinophaga,0.6947713382290548,1.0,0.7072467744193001,High,0.0,11
Frigoribacterium,0.21517647674777396,0.7509403514309935,0.6955813302917352,High,0.045,11
Blastococcus,0.9817755851262489,0.7077217257684828,0.6523180012107265,High,0.0,11
Rhizobium,0.20180792071133502,0.7057886717177981,0.643854552515509,High,0.01,11
Rhodopseudomonas,0.14844279386538475,0.7874846335459688,0.5944856533549349,High,0.01,11
Skermanella,0.14083440409398199,-0.8058168794234202,0.5172131878333862,Low,0.005,11
Devosia,1.0,0.9550448245532783,0.49052713589734637,High,0.0,11
Oxalicibacterium,0.4788024969229006,-0.9202713384931619,0.32923350085527403,Low,0.005,11
Altererythrobacter,0.19359001287051797,-0.6477263550123353,0.27804842090856746,Low,0.04,11
Polaromonas,0.4287414121100298,-0.6139993515428539,0.7525836336713416,Low,0.025,12
Cellulomonas,0.323792116605213,0.7797004044683955,0.7200537879227132,High,0.0,12
Chitinophaga,0.6557987048052288,1.0,0.7150226607057538,High,0.0,12
Bradyrhizobium,0.5270176663160889,0.81045757398529,0.7123215944801353,High,0.0,12
Frigoribacterium,0.2688775784607232,0.6337438514218762,0.6997985625835561,High,0.01,12
Blastococcus,1.0,0.6019935814670536,0.6766331671307453,High,0.0,12
Rhizobium,0.2115431829075411,0.7028481736393196,0.6644400626876675,High,0.01,12
Rhodopseudomonas,0.16525504401311444,0.6827326899411111,0.5990721002312167,High,0.0,12
Skermanella,0.14546147769270218,-0.5626541259197824,0.5114297482948836,Low,0.005,12
Devosia,0.6613055975157023,0.6982835437513998,0.47186125107169125,High,0.005,12
Oxalicibacterium,0.3426198317227875,-0.645726110080659,0.35330907994726324,Low,0.005,12
Altererythrobacter,0.24215088945383687,-0.5904800804529013,0.28081908009825046,Low,0.01,12
Polaromonas,0.8349963716554266,-1.0,0.7647881809440759,Low,0.01,13
Chitinophaga,0.9369306464352223,0.9871565910504972,0.7302712642678253,High,0.0,13
Bradyrhizobium,0.6358549884396463,0.8904483062350812,0.7211694234107067,High,0.0,13
Cellulomonas,0.4321669003667209,0.9235198978662937,0.7150646032575417,High,0.0,13
Frigoribacterium,0.5432768011899839,0.6823575601778795,0.7072623390811028,High,0.01,13
Blastococcus,1.0,0.7176171195765934,0.6837839428212387,High,0.0,13
Rhizobium,0.2266779485864007,0.7884376316518605,0.6650982295101716,High,0.01,13
Rhodopseudomonas,0.19790641820585597,0.8360006994419322,0.6066484201314173,High,0.005,13
Kerstersia,0.15332842985041642,0.6930728563305009,0.570766150480598,High,0.0,13
Skermanella,0.22192232681503596,-0.8169270601666838,0.554082245442594,Low,0.0,13
Devosia,0.8237231583919188,0.8386959207184862,0.48925182443437937,High,0.0,13
Oxalicibacterium,0.41453299973904884,-0.8654792049583324,0.3783153757056902,Low,0.005,13
Altererythrobacter,0.19548723893543773,-0.7052433940705111,0.2848041787624776,Low,0.01,13
