Taxa,RF Importance,NN Importance,IS stat,IS Site Label,IS P value,K
Devosia,1.0,-0.7406836733462613,0.7891450606242875,Low,0.0,0
Martelella,0.2693671957507039,-0.6245168805401772,0.6357595215318228,Low,0.005,0
Pseudohaliea,0.17275649045301353,-0.9969668385443613,0.6033836725396414,Low,0.0,0
Altererythrobacter,0.2188838584198695,0.6422029279099375,0.5383023009781033,High,0.005,0
Devosia,0.33714255831626583,-0.7568081441694926,0.7550450420669801,Low,0.005,1
Martelella,0.30266132774940563,-1.0,0.7162624118903922,Low,0.0,1
Shinella,0.5613777329414872,-0.7428879682606017,0.6805171515538226,Low,0.0,1
Altererythrobacter,0.31155244106568564,0.7755422409161529,0.5922784437407532,High,0.0,1
Pseudohaliea,0.1623624762088345,-0.9956745919436456,0.5518637563295546,Low,0.0,1
Pseudorhodoferax,0.08575208888027641,-0.8098624372000179,0.49990428397489317,Low,0.025,1
Devosia,0.33867501571019265,-0.6562725003578522,0.7591734068332933,Low,0.0,2
Flavobacterium,0.4716799750781121,-0.617995408490915,0.7213334019057037,Low,0.025,2
Martelella,0.11696850455251406,-0.6123479977802204,0.6179435462114216,Low,0.05,2
Pseudohaliea,0.17876307365156457,-1.0,0.5899766547956516,Low,0.0,2
Altererythrobacter,0.22904281052141462,0.663973822620022,0.5254618861488255,High,0.005,2
Paenibacillus,0.10756119916685289,0.5878600511201839,0.458426665835579,High,0.01,2
Altererythrobacter,0.2587852802746245,0.6586772656858088,0.5834599659915782,High,0.005,3
Pseudohaliea,0.19528570315361257,-1.0,0.5802097053485794,Low,0.0,3
Altererythrobacter,0.37469667153588165,0.6883145608899744,0.5719655023165191,High,0.0,4
Pseudohaliea,0.23682840150663395,-1.0,0.5714721018101202,Low,0.015,4
Devosia,0.5265830578147273,-0.5799041943181248,0.7584802325234559,Low,0.0,5
Martelella,0.23164775106500676,-0.6182342026440188,0.6243016768262453,Low,0.025,5
Pseudohaliea,0.34694814450287687,-1.0,0.6153807824424418,Low,0.0,5
Altererythrobacter,0.36876739251163637,0.5657746288683466,0.5617454552328524,High,0.005,5
Devosia,0.7733629265171165,-0.9658159802740239,0.7932235013990536,Low,0.0,6
Martelella,0.48129495778052767,-0.6840528395167637,0.6579183044858546,Low,0.0,6
Pseudohaliea,0.18612542682007804,-1.0,0.5971402880947446,Low,0.0,6
Altererythrobacter,0.24854312873118775,0.6711733053255254,0.5407641609075525,High,0.0,6
Devosia,0.5595181701227224,-0.6804706375500174,0.7588895220983493,Low,0.01,7
Martelella,0.3965107938985439,-0.6452492189358937,0.6358670287130516,Low,0.02,7
Altererythrobacter,0.38405081763803806,0.6868640706388358,0.5858497725653075,High,0.0,7
Pseudohaliea,0.23692339754524838,-0.9628387930198509,0.5593161199700658,Low,0.01,7
Devosia,0.5060571822451919,-0.7020427825013369,0.7699279001101171,Low,0.0,8
Flavobacterium,0.5084388152808073,-0.6507076424259688,0.6927564612489154,Low,0.03,8
Martelella,0.6987705702676668,-0.6434614301739657,0.6565325060305568,Low,0.005,8
Pseudohaliea,0.19556415118947626,-1.0,0.6070162256498739,Low,0.0,8
Microvirga,0.16017847779703978,0.7557275543101037,0.5674535908931507,High,0.01,8
Altererythrobacter,0.18617741871938046,0.7810010456233152,0.5311291886011548,High,0.005,8
Pseudorhodoferax,0.10826982526788545,-0.8103422077831712,0.515839385134299,Low,0.005,8
Pirellula,0.1281981105977175,-0.9395191774833141,0.3296902366978935,Low,0.05,8
Devosia,0.35572242938026627,-0.6624729097324226,0.7511543796272985,Low,0.01,9
Martelella,0.22440864450205497,-0.6053268218233956,0.629058937644647,Low,0.035,9
Pseudohaliea,0.1843300686120087,-1.0,0.582568890501913,Low,0.0,9
Devosia,0.6475619880763586,-0.7065170293830589,0.7598454608582781,Low,0.01,10
Shinella,0.923231299127631,-0.6730537953922013,0.6284541987966996,Low,0.01,10
Microvirga,0.24225528029979498,0.6827252352225552,0.6046608956218624,High,0.025,10
Altererythrobacter,0.5493182947801893,0.853028789659287,0.5984575809960173,High,0.0,10
