Taxa,RF Importance,NN Importance,IS stat,IS Site Label,IS P value,K
Rhizobium,1.0,-1.0,0.9082788466091508,Low,0.0,0
Arthrobacter,0.04110232107128523,0.7291385563462814,0.8430734450352789,High,0.0,0
Bradyrhizobium,0.06932482711471542,-0.7986813376653894,0.8379508852063887,Low,0.0,0
Microvirga,0.1875556819372739,0.7821905956630465,0.8371479137805588,High,0.0,0
Herbaspirillum,0.029565220204158017,0.6692735791165166,0.7951147324346101,High,0.005,0
Variovorax,0.04562275148362541,0.8024497131920918,0.780979113515063,High,0.02,0
Martelella,0.06797973292357531,-0.5313469998866193,0.7422134009307197,Low,0.0,0
Sphingopyxis,0.03430432391169298,-0.542237457209316,0.7056005156810539,Low,0.0,0
Ensifer,0.023651880168880687,0.8298223428505382,0.7038163641647653,High,0.0,0
Flavitalea,0.014503509653841352,-0.44847682691576235,0.6816968049232416,Low,0.005,0
Sphingomonas,0.05153625243661805,0.5739968564844954,0.6802181878083864,High,0.04,0
Luteolibacter,0.021850663231807076,-0.5962686462044873,0.656155746114477,Low,0.0,0
Terrimonas,0.013231941056152193,-0.5133538960243824,0.586928973841887,Low,0.0,0
Skermanella,0.01951497863881596,0.4807405219252159,0.575239292215859,High,0.0,0
Georgenia,0.07461039559755114,0.626930707971165,0.5107539184552492,High,0.0,0
Taibaiella,0.023266628409744656,-0.5297407440342488,0.49009017848302766,Low,0.005,0
Methylobacillus,0.027922859091087604,0.6715524596268541,0.3938349565808603,High,0.015,0
Noviherbaspirillum,0.027796287017725445,0.6939505661092843,0.3911591293589788,High,0.035,0
Rhizobium,1.0,-1.0,0.9159616187309421,Low,0.0,1
Bradyrhizobium,0.10594018972173122,-0.8800129850011086,0.8668111500329673,Low,0.0,1
Caulobacter,0.7231094936289839,-0.7026930712040714,0.8666785693841207,Low,0.0,1
Microvirga,0.184780384224067,0.6870035084601345,0.8604602139751463,High,0.0,1
Arthrobacter,0.06503665826482632,0.7485585078309266,0.8262097218849492,High,0.0,1
Herbaspirillum,0.020039290152820976,0.5340092863177385,0.7729864542909098,High,0.0,1
Microbacterium,0.05129432154010612,0.4649669270608186,0.772836561475244,High,0.045,1
Martelella,0.05946869916012861,-0.5211781433083016,0.7257558055519067,Low,0.0,1
Cryobacterium,0.014130475320523132,0.5523188307595974,0.7146227736813314,High,0.025,1
Sphingopyxis,0.014401826575194291,-0.4888291429365886,0.6953969156090221,Low,0.0,1
Blastococcus,0.01077837603782493,0.8746827993356509,0.6932888425602889,High,0.0,1
Ensifer,0.01829958832142894,0.7421668450858004,0.6847596665496049,High,0.0,1
Luteolibacter,0.029305527531250205,-0.6298598831274007,0.6798090194147007,Low,0.0,1
Sphingomonas,0.05111737274621765,0.5288713075036595,0.663976234573637,High,0.03,1
Skermanella,0.013709300263573587,0.5270095289806417,0.640257040581503,High,0.0,1
Georgenia,0.08703022751210078,0.7214559366197502,0.5499190367705108,High,0.005,1
Taibaiella,0.014651844520889351,-0.567411294085938,0.4928783115730366,Low,0.01,1
Noviherbaspirillum,0.03727866873940022,0.5923809590328593,0.44809307244678886,High,0.02,1
Methylobacillus,0.02920502726832035,0.6075615491046059,0.3984453547176271,High,0.005,1
Rhizobium,1.0,-1.0,0.9156275482429449,Low,0.0,2
Microvirga,0.20616577324526728,0.60760719974399,0.8413385882892054,High,0.0,2
Bradyrhizobium,0.08243094496150677,-0.8818457079105128,0.8391174645424521,Low,0.0,2
Arthrobacter,0.04528527886990126,0.6620945275905489,0.8237120295897987,High,0.005,2
Herbaspirillum,0.02603202765093783,0.6044539704234906,0.7854541804574483,High,0.0,2
Martelella,0.08049753775941353,-0.5253235188902158,0.7191800964469962,Low,0.0,2
