Taxa,RF Importance,NN Importance,IS stat,IS Site Label,IS P value,K
Gibberella,0.5463041962832687,-0.9836430717773427,0.7314881212778943,Low,0.0,0
Emericella,0.2123162002143259,-0.6328322541624826,0.6609150007923451,Low,0.0,0
Penicillium,1.0,0.6142281941823837,0.6409048135117501,High,0.015,0
Aspergillus,0.16607026836832747,0.8034720812855181,0.6072694660353924,High,0.0,0
Chaetosphaeronema,0.06960259820522063,-0.7630694513129409,0.592805540588896,Low,0.005,0
Plectosphaerella,0.5143507834637118,0.9250104956705583,0.43200917152301715,High,0.005,0
Massarina,0.06901875529674759,-0.7719059511922962,0.34641016151377546,Low,0.035,0
Gibberella,0.7734170269722949,-0.9607302964851857,0.7478728728231007,Low,0.0,1
Penicillium,1.0,1.0,0.6403184482731556,High,0.005,1
Emericella,0.31511340447599967,-0.5267192594210125,0.6301875347947431,Low,0.005,1
Aspergillus,0.1046617316457047,0.4732628426120955,0.5886395237489798,High,0.005,1
Chaetosphaeronema,0.14463527354120212,-0.4410939684099426,0.576422399813599,Low,0.005,1
Plectosphaerella,0.47254380067968704,0.8967524725355577,0.42279689896952727,High,0.01,1
Gibberella,0.7242379443668283,-1.0,0.7481736801485034,Low,0.0,2
Emericella,0.38950257030256336,-0.628961243504718,0.6554782139795197,Low,0.0,2
Penicillium,1.0,0.766750356071282,0.6095712859052422,High,0.02,2
Aspergillus,0.08952819203939492,0.5939185517471166,0.532788148636784,High,0.005,2
Plectosphaerella,0.4915814254245091,0.8671995085118022,0.4264152185030064,High,0.015,2
Massarina,0.08134533284288295,-0.40132232451264016,0.3499271061118826,Low,0.05,2
Gibberella,1.0,-1.0,0.7338145246432795,Low,0.0,3
Emericella,0.2870710010228536,-0.6473798906951841,0.6312219628878696,Low,0.005,3
Aspergillus,0.17063638531008035,0.7871922254338779,0.608024020107952,High,0.005,3
Chaetosphaeronema,0.14027041080026795,-0.4956464251581376,0.5911704060651639,Low,0.0,3
Gibberella,0.7273236239528224,-1.0,0.7470209123512029,Low,0.0,4
Doratomyces,0.31720409262886295,0.37610058535144214,0.694702598287077,High,0.005,4
Penicillium,1.0,0.6530088185017612,0.6407374156537754,High,0.01,4
Emericella,0.2145990611799133,-0.5335628535270066,0.6108998132974237,Low,0.005,4
Aspergillus,0.10302688854135006,0.6741862113265458,0.5822071975041926,High,0.0,4
Chaetosphaeronema,0.1052067554719977,-0.4198730031978403,0.570793544868752,Low,0.0,4
Plectosphaerella,0.42884858844561025,0.6552485590116107,0.4209966479543248,High,0.02,4
Gibberella,0.8102288759933283,-1.0,0.7453054287037034,Low,0.0,5
Doratomyces,0.4173496951503101,0.43546573959919427,0.717916322830058,High,0.0,5
Penicillium,1.0,0.7209826318421019,0.6234255765632067,High,0.02,5
Emericella,0.16349335914464963,-0.562883797390278,0.6025555647311109,Low,0.005,5
Aspergillus,0.08876642439540995,0.706204123924037,0.5711115887441857,High,0.005,5
Plectosphaerella,0.4889909307812257,0.651155847794374,0.4213958550589921,High,0.01,5
Massarina,0.09510241709106369,-0.4487699212325189,0.34641016151377546,Low,0.02,5
