Pine genera,Oak genera,Grass genera,"Pine, oak genera","Pine, grass genera","Oak, grass genera","Pine, oak, grass genera"
Altererythrobacter,Arthrobacter,Achromobacter,Blastococcus,Altererythrobacter,Flavobacterium,Rhizobium
Blastococcus,Blastococcus,Acidovorax,Bradyrhizobium,Cellulomonas,Pseudomonas,
Bradyrhizobium,Bradyrhizobium,Advenella,Rhizobium,Rhizobium,Rhizobium,
Cellulomonas,Domibacillus,Altererythrobacter,,,Sphingomonas,
Chitinophaga,Ensifer,Cellulomonas,,,,
Cohnella,Flavobacterium,Flavobacterium,,,,
Devosia,Herbaspirillum,Porphyrobacter,,,,
Frigoribacterium,Luteolibacter,Pseudomonas,,,,
Kerstersia,Lysinibacillus,Pseudoxanthomonas,,,,
Oxalicibacterium,Microvirga,Rhizobium,,,,
Paracoccus,Pseudomonas,Sphingomonas,,,,
Polaromonas,Rhizobium,Variovorax,,,,
Rhizobium,Sphingomonas,,,,,
Rhodococcus,,,,,,
Rhodopseudomonas,,,,,,
Skermanella,,,,,,
Steroidobacter,,,,,,
Taibaiella,,,,,,
