Pine genera,Oak genera,Grass genera,"Pine, oak genera","Pine, grass genera","Oak, grass genera","Pine, oak, grass genera"
Achromobacter,Arthrobacter,Altererythrobacter,Blastococcus,Devosia,Martelella,Microvirga
Advenella,Bacillus,Devosia,Bradyrhizobium,Flavobacterium,Microvirga,
Agaricicola,Blastococcus,Flavobacterium,Caulobacter,Microvirga,,
Agromyces,Bradyrhizobium,Martelella,Cellulomonas,Pirellula,,
Azospirillum,Caulobacter,Microvirga,Ensifer,Pseudorhodoferax,,
Blastococcus,Cellulomonas,Paenibacillus,Herbaspirillum,,,
Bosea,Cryobacterium,Pirellula,Luteolibacter,,,
Bradyrhizobium,Ensifer,Pseudohaliea,Microvirga,,,
Caulobacter,Flavitalea,Pseudorhodoferax,Rhizobium,,,
Cellulomonas,Georgenia,Shinella,Skermanella,,,
Chitinophaga,Herbaspirillum,Stenotrophomonas,Sphingomonas,,,
Devosia,Luteolibacter,,Sphingopyxis,,,
Ectothiorhodosinus,Martelella,,Taibaiella,,,
Ensifer,Methylobacillus,,Variovorax,,,
Flavobacterium,Microbacterium,,,,,
Frigoribacterium,Microvirga,,,,,
Herbaspirillum,Niastella,,,,,
Luteimonas,Noviherbaspirillum,,,,,
Luteolibacter,Pseudomonas,,,,,
Mesorhizobium,Rhizobium,,,,,
Methylobacterium,Skermanella,,,,,
Microvirga,Sphingomonas,,,,,
Mucilaginibacter,Sphingopyxis,,,,,
Oxalicibacterium,Taibaiella,,,,,
Phyllobacterium,Terrimonas,,,,,
Pirellula,Variovorax,,,,,
Planctopirus,,,,,,
Porphyrobacter,,,,,,
Pseudolabrys,,,,,,
Pseudorhodoferax,,,,,,
Pseudoxanthomonas,,,,,,
Rhizobium,,,,,,
Rhodococcus,,,,,,
Rhodoplanes,,,,,,
Rhodopseudomonas,,,,,,
Saccharibacteria_genera_incertae_sedis,,,,,,
Sandaracinobacter,,,,,,
Skermanella,,,,,,
Sphingobacterium,,,,,,
Sphingomonas,,,,,,
Sphingopyxis,,,,,,
Taibaiella,,,,,,
Thiohalobacter,,,,,,
Variibacter,,,,,,
Variovorax,,,,,,
